"time","S","E","I","R"
80,30.5681422766152,17.0322483992023,31.1422675838232,27.2573417403595
81,30.6333768135152,17.0220223874394,31.0894243543232,27.2551764447223
82,30.6975057242503,17.013669834503,31.0387846349088,27.2500398063381
83,30.7602820244198,17.007038118171,30.9904083474034,27.2422715100059
84,30.8214921050708,17.0019813586921,30.9443357094562,27.232190826781
85,30.8809533853827,16.9983605595806,30.9005891629722,27.2200968920647
86,30.9385120511299,16.9960436745076,30.8591751967362,27.2062690776264
87,30.9940408810663,16.9949056119404,30.820086062329,27.1909674446644
88,31.0474371626565,16.9948281877904,30.7833013836659,27.1744332658873
89,31.0986206979667,16.9957000350532,30.7487896615024,27.1568896054778
90,31.1475318980769,16.9974164780807,30.7165096764488,27.1385419473936
91,31.1941299779134,16.9998793791533,30.6864117845243,27.1195788584091
92,31.2383912027972,17.00299695883,30.6584391428114,27.1001726955616
93,31.2803072913831,17.0066836060637,30.6325287951837,27.0804803073696
94,31.3198838826507,17.0108596712288,30.6086126852627,27.060643760858
95,31.3571390253252,17.0154512440961,30.5866186300107,27.0407911005681
96,31.3921018200388,17.0203899307793,30.5664711623928,27.0210370867893
97,31.4248111278522,17.025612625026,30.5480923106474,27.0014839364745
98,31.4553143573771,17.0310612769445,30.5314023071752,26.9822220585033
99,31.4836663301271,17.0366826612299,30.5163202292958,26.9633307793473
100,31.509928223201,17.0424281464773,30.5027645757663,26.9448790545554
101,31.5341665847746,17.0482534663613,30.4906537842026,26.9269261646616
102,31.5564524393338,17.0541184986259,30.4799066834911,26.9095223785494
103,31.5768603745636,17.0599870258288,30.4704429380068,26.8927096616009
104,31.5954678311106,17.0658265329371,30.4621833725792,26.8765222633732
105,31.6123543868175,17.0716079952166,30.4550502899031,26.8609873280629
106,31.6276010779676,17.0773056652309,30.4489677581712,26.8461254986303
107,31.6412898107076,17.0828968719563,30.4438618420403,26.831951475296
108,31.6535028214268,17.0883618250496,30.4396608022539,26.8184745512698
109,31.6643221893668,17.0936834249823,30.4362952625458,26.8056991231052
110,31.673829399258,17.0988470793802,30.4336983461828,26.7936251751791
111,31.6821049512918,17.1038405257615,30.4318057848888,26.782248738058
112,31.6892280157762,17.1086536607374,30.430556002406,26.7715623210805
113,31.6952761298615,17.1132783757461,30.4298901749515,26.761555319441
114,31.7003249337671,17.1177083993537,30.4297522706764,26.7522143962029
115,31.704447943978,17.121939146147,30.4300890701061,26.743523839769
116,31.707716360949,17.1259675722165,30.4308501694258,26.7354658974087
117,31.710198908914,17.1297920372158,30.4319879683583,26.7280210855119
118,31.7119617053582,17.133412172832,30.4334576442333,26.7211684775765
119,31.7130681586564,17.136828758455,30.4352171139874,26.7148859689013
120,31.7135788891537,17.1400436006676,30.4372269844044,26.7091505257744
121,31.7135516762437,17.1430594237379,30.4394504950015,26.703938405017
122,31.7130414259246,17.1458797647873,30.4418534517702,26.699225357518
123,31.7121001540516,17.1485088707307,30.4444041525433,26.6949868226744
124,31.7107769913592,17.1509516059614,30.4470733076236,26.6911980950558
125,31.7091182026811,17.1532133648595,30.4498339553931,26.6878344770663
126,31.7071672199716,17.1552999899607,30.452661373889,26.6848714161787
127,31.704964687837,17.15721769575,30.4555329891726,26.6822846272405
128,31.7025485199361,17.1589729979564,30.4584282813551,26.6800502007525
129,31.6999539648731,17.1605726481739,30.4613286889912,26.6781446979618
130,31.6972136802616,17.1620235736335,30.4642175125057,26.6765452335993
131,31.6943578137267,17.1633328219443,30.4670798172553,26.6752295470737
132,31.6914140896957,17.1645075106159,30.4699023367744,26.674176062914
133,31.6884079009113,17.1655547811653,30.4726733766965,26.673363941227
134,31.6853624036818,17.1664817576114,30.4753827197945,26.6727731189124
135,31.6822986159573,17.1672955091551,30.4780215325331,26.6723843423545
136,31.6792355174024,17.1680030168386,30.4805822734822,26.6721791922769
137,31.6761901507005,17.1686111439807,30.4830586038942,26.6721401014246
138,31.6731777234016,17.1691266101796,30.485445300712,26.672250365707
139,31.6702117096859,17.1695559686793,30.4877381722315,26.6724941494035
140,31.6673039514842,17.1699055868952,30.4899339766101,26.6728564850106
141,31.6644647584514,17.1701816298971,30.4920303433774,26.6733232682741
142,31.6617030063504,17.1703900466508,30.4940256980742,26.6738812489247
143,31.6590262333547,17.1705365588336,30.4959191901902,26.6745180176216
144,31.656440734106,17.1706266520067,30.4977106243341,26.6752219895532
145,31.6539516492653,17.1706655690941,30.4994003960889,26.6759823855518
146,31.6515630610112,17.1706583052608,30.5009894249428,26.6767892087853
147,31.6492780721747,17.1706096057693,30.5024791002319,26.6776332218241
148,31.6470988884034,17.1705239647684,30.5038712257561,26.6785059210722
149,31.6450268994732,17.1704056254345,30.5051679659293,26.6793995091631
150,31.6430627539185,17.1702585818545,30.5063717976039,26.6803068666232
151,31.6412064321117,17.1700865820391,30.5074854637354,26.6812215221138
152,31.6394573130125,17.1698931318836,30.508511931921,26.682137623183
153,31.6378142383384,17.1696815001451,30.5094543553716,26.6830499061449
154,31.6362755790708,17.1694547261103,30.5103160342623,26.6839536605567
155,31.6348392741583,17.1692156160006,30.5111003874007,26.6848447224405
156,31.6335029148312,17.1689667660414,30.5118109128428,26.6857194062847
157,31.6322637795565,17.1687105632412,30.5124511651996,26.6865744920028
158,31.6311188808854,17.1684491930673,30.5130247300181,26.6874071960293
159,31.6300650051873,17.1681846450069,30.5135352013398,26.688215148466
160,31.6290987579072,17.1679187234362,30.5139861594233,26.6889963592334
161,31.6282166008317,17.1676530563939,30.5143811522652,26.6897491905092
162,31.6274148865175,17.1673891044354,30.5147236790627,26.6904723299845
163,31.6266898898458,17.1671281695209,30.5150171756091,26.6911647650243
164,31.6260378367866,17.1668714038908,30.5152650015365,26.6918257577862
165,31.625454930501,17.1666198188779,30.515470429284,26.6924548213372
166,31.6249373749071,17.1663742936132,30.5156366346785,26.6930516968013
167,31.6244813958357,17.166135583587,30.515766689016,26.6936163315614
168,31.6240832599048,17.1659043290312,30.5158635525356,26.6941488585286
169,31.6237392912387,17.165681063094,30.5159300691802,26.6946495764871
170,31.623445886159,17.1654662197825,30.5159689625436,26.695118931515
171,31.6231995259714,17.1652601416501,30.5159828329041,26.6955574994745
172,31.6229967879728,17.1650630872143,30.5159741552516,26.6959659695614
173,31.6228343547962,17.1648752380877,30.5159452782179,26.6963451288982
174,31.6227090222141,17.1646967058132,30.515898423824,26.6966958481488
175,31.6226177055107,17.164527538394,30.5158356879614,26.6970190681339
176,31.6225574445365,17.1643677265134,30.5157590415322,26.697315787418
177,31.6225254075494,17.1642172094405,30.5156703321717,26.6975870508385
178,31.6225188939451,17.1640758806212,30.5155712864868,26.697833938947
179,31.6225353359766,17.1639435929551,30.5154635127425,26.6980575583259
180,31.6225722995535,17.1638201637602,30.5153485039383,26.698259032748
181,31.6226274842138,17.16370537943,30.5152276412154,26.6984394951409
182,31.6226987223497,17.1635989997878,30.5151021975427,26.6986000803199
183,31.6227839777708,17.1635007621456,30.5149733416325,26.6987419184511
184,31.6228813436785,17.1634103850735,30.5148421420404,26.6988661292078
185,31.622989040123,17.1633275718895,30.5147095714066,26.6989738165809
186,31.6231054119792,17.1632520138086,30.5145765101058,26.6990660641064
187,31.6232289192503,17.1631833933276,30.5144437551958,26.6991439322264
188,31.6233581420939,17.1631213861699,30.514312018477,26.6992084532592
189,31.6234917808134,17.1630656637775,30.5141819283165,26.6992606270927
190,31.6236286370259,17.1630158965977,30.514054044635,26.6993014217415
191,31.6237676160414,17.1629717553048,30.5139288582094,26.6993317704445
192,31.6239077270975,17.1629329127417,30.5138067919343,26.6993525682265
193,31.624048071085,17.1628990455235,30.5136882101983,26.6993646731932
194,31.624187838969,17.1628698353805,30.5135734209209,26.6993689047296
195,31.6243263072289,17.1628449704277,30.5134626795295,26.6993660428139
196,31.6244628343526,17.1628241463235,30.5133561921499,26.699356827174
197,31.624596855133,17.1628070671988,30.5132541200987,26.6993419575695
198,31.6247278760404,17.1627934464371,30.5131565835481,26.6993220939745
199,31.6248554706671,17.1627830073323,30.5130636650514,26.6992978569493
200,31.6249792752637,17.162775483624,30.5129754129205,26.6992698281919
201,31.6250989843794,17.1627706199212,30.5128918444492,26.6992385512502
202,31.6252143466217,17.1627681720204,30.5128129489817,26.6992045323763
203,31.6253251533381,17.1627678964591,30.512738687834,26.6991682623689
204,31.6254312685484,17.1627695994947,30.5126690101272,26.6991301218297
205,31.6255325565356,17.1627730322515,30.5126038244626,26.6990905867504
206,31.6256289587665,17.162778021026,30.5125430428564,26.6990499773512
207,31.625720434198,17.1627843792726,30.5124865562365,26.6990086302931
208,31.6258069737354,17.1627919318018,30.5124342424861,26.6989668519768
209,31.6258885969022,17.1628005146094,30.5123859685448,26.6989249199436
210,31.6259653487149,17.1628099746564,30.5123415923367,26.6988830842921
211,31.6260372968317,17.162820169606,30.5123009644838,26.6988415690786
212,31.6261045288661,17.162830967528,30.512263929886,26.69880057372
213,31.6261671498616,17.162842246575,30.5122303291717,26.6987602743918
214,31.6262252799276,17.1628538946351,30.512200000024,26.6987208254133
215,31.6262790520316,17.1628658089661,30.5121727783891,26.6986823606133
216,31.6263286099446,17.1628778958138,30.5121484995699,26.6986449946717
217,31.6263741063361,17.1628900700202,30.5121269992126,26.6986088244311
218,31.6264157010131,17.1629022546223,30.5121081141905,26.6985739301742
219,31.6264535592991,17.1629143804468,30.5120916833906,26.6985403768636
220,31.626487850547,17.1629263857026,30.5120775484091,26.6985082153413
221,31.6265187467822,17.1629382155735,30.5120655541606,26.6984774834837
222,31.6265464214678,17.1629498218128,30.5120555494066,26.6984482073128
223,31.6265710483887,17.1629611623439,30.5120473872085,26.6984204020589
224,31.6265928006472,17.1629722008656,30.5120409253111,26.6983940731761
225,31.6266118497647,17.1629829064666,30.5120360264596,26.698369217309
226,31.6266283648846,17.1629932532486,30.5120325586574,26.6983458232095
227,31.6266425120685,17.1630032199597,30.5120303953675,26.6983238726044
228,31.6266544536829,17.1630127896395,30.5120294156634,26.6983033410142
229,31.6266643478677,17.1630219492766,30.5120295043329,26.6982841985228
230,31.6266723409042,17.1630306897479,30.5120305569348,26.6982664124132
231,31.6266785980074,17.1630390042583,30.5120324580775,26.6982499396568
232,31.6266832343626,17.1630468903451,30.512035128976,26.6982347463163
233,31.6266864111528,17.1630543467717,30.512038461001,26.6982207810745
234,31.6266882614881,17.1630613761821,30.5120423671246,26.6982079952052
235,31.6266888954084,17.1630679823478,30.5120467765628,26.6981963456811
236,31.6266884548136,17.1630741725588,30.5120515998126,26.6981857728151
237,31.6266870393176,17.1630799542092,30.5120567757088,26.6981762307644
238,31.6266847562286,17.1630853366172,30.5120622393515,26.6981676678028
239,31.6266817067727,17.1630903303971,30.5120679308538,26.6981600319765
240,31.6266779861422,17.1630949472601,30.5120737951642,26.6981532714336
241,31.6266736835752,17.1630991998299,30.5120797818783,26.6981473347167
242,31.6266688824631,17.1631031014799,30.5120858450473,26.6981421710097
243,31.6266636604815,17.1631066661812,30.5120919429803,26.698137730357
244,31.6266580897382,17.163109908364,30.5120980380432,26.6981339638547
245,31.626652236938,17.1631128427901,30.5121040964552,26.6981308238167
246,31.6266461635606,17.1631154844366,30.5121100880853,26.6981282639175
247,31.6266399260502,17.1631178483899,30.512115986248,26.698126239312
248,31.6266335760127,17.1631199497506,30.5121217675014,26.6981247067354
249,31.6266271604212,17.1631218035474,30.5121274114476,26.6981236245839
250,31.6266207218252,17.1631234246606,30.512132900536,26.6981229529782
251,31.6266142985643,17.163124827754,30.5121382198716,26.6981226538101
252,31.626607924983,17.1631260272149,30.5121433570269,26.6981226907752
253,31.626601631646,17.1631270371018,30.5121483018602,26.698123029392
254,31.6265954455526,17.1631278710997,30.5121530463391,26.6981236370086
255,31.6265893903498,17.1631285424812,30.5121575843701,26.6981244827989
256,31.6265834865414,17.1631290640748,30.5121619116354,26.6981255377484
257,31.6265777516942,17.1631294482383,30.5121660254354,26.6981267746321
258,31.6265722006392,17.1631297068374,30.5121699245395,26.6981281679839
259,31.6265668456677,17.1631298512301,30.5121736090426,26.6981296940596
260,31.6265616967214,17.1631298922546,30.5121770802294,26.6981313307946
261,31.6265567615766,17.1631298402218,30.5121803404466,26.698133057755
262,31.6265520460213,17.1631297049115,30.5121833929805,26.6981348560866
263,31.626547554026,17.1631294955718,30.5121862419436,26.6981367084586
264,31.6265432879063,17.1631292209215,30.5121888921671,26.698138599005
265,31.6265392484791,17.1631288891558,30.5121913491005,26.6981405132647
266,31.6265354352106,17.1631285079531,30.5121936187181,26.6981424381183
267,31.6265318463572,17.1631280844856,30.5121957074323,26.6981443617249
268,31.6265284790986,17.1631276254303,30.5121976220129,26.6981462734582
269,31.6265253296632,17.1631271369823,30.5121993695129,26.6981481638417
270,31.6265223934462,17.1631266248693,30.5122009572001,26.6981500244844
271,31.6265196651207,17.1631260943672,30.5122023924946,26.6981518480174
272,31.6265171387404,17.1631255503169,30.512203682912,26.6981536280307
273,31.6265148078367,17.1631249971413,30.5122048360112,26.6981553590109
274,31.6265126655076,17.1631244388633,30.5122058593481,26.6981570362811
275,31.6265107045007,17.1631238791241,30.5122067604335,26.6981586559416
276,31.6265089172897,17.1631233212019,30.512207546696,26.6981602148124
277,31.626507296144,17.1631227680305,30.5122082254483,26.6981617103773
278,31.6265058331928,17.1631222222177,30.5122088038585,26.698163140731
279,31.6265045204837,17.1631216860645,30.5122092889251,26.6981645045268
280,31.6265033500352,17.1631211615832,30.5122096874542,26.6981658009274
281,31.6265023138845,17.1631206505157,30.5122100060422,26.6981670295576
282,31.6265014041298,17.1631201543513,30.5122102510594,26.6981681904596
283,31.6265006129685,17.1631196743439,30.5122104286381,26.6981692840495
284,31.6264999327308,17.1631192115296,30.512210544662,26.6981703110776
285,31.6264993559086,17.1631187667425,30.5122106047593,26.6981712725896
286,31.6264988751815,17.1631183406308,30.5122106142968,26.6981721698909
287,31.6264984834382,17.1631179336724,30.5122105783765,26.6981730045128
288,31.6264981737952,17.1631175461893,30.5122105018346,26.6981737781809
289,31.6264979396118,17.1631171783618,30.5122103892411,26.6981744927853
290,31.6264977745027,17.1631168302418,30.5122102449016,26.6981751503539
291,31.6264976723475,17.1631165017661,30.51221007286,26.6981757530264
292,31.626497627298,17.1631161927677,30.5122098769028,26.6981763030315
293,31.626497633783,17.163115902988,30.5122096605642,26.6981768026647
294,31.6264976865115,17.1631156320872,30.5122094271319,26.6981772542694
295,31.6264977804731,17.1631153796548,30.5122091796537,26.6981776602183
296,31.6264979109383,17.1631151452187,30.5122089209455,26.6981780228975
297,31.6264980734553,17.1631149282545,30.5122086535986,26.6981783446916
298,31.6264982638475,17.1631147281934,30.5122083799884,26.6981786279706
299,31.6264984782081,17.1631145444304,30.5122081022832,26.6981788750784
